Sport,Age,Height,Weight,Sex
Water Polo,23.0,,,M
Football,23.0,187.0,90.0,M
Rowing,,,,M
Gymnastics,22.0,,,M
Shooting,44.0,,,M
Basketball,,180.0,,M
Judo,32.0,160.0,52.0,F
Athletics,30.0,,,M
Handball,24.0,172.0,67.0,F
Athletics,28.0,177.0,58.0,F
Judo,27.0,187.0,100.0,M
Athletics,26.0,176.0,65.0,M
Swimming,22.0,187.0,68.0,M
Sailing,28.0,,,M
Wrestling,28.0,,,M
Wrestling,26.0,,70.0,M
Gymnastics,31.0,,,M
Gymnastics,,,,M
Rowing,19.0,,,M
Basketball,32.0,211.0,102.0,M
Fencing,29.0,,,M
Canoeing,28.0,,,M
Swimming,21.0,,,F
Swimming,21.0,,,F
Swimming,21.0,,,F
Cycling,26.0,,,M
Cycling,26.0,,,M
Football,23.0,,,M
Shooting,40.0,,,M
Shooting,40.0,,,M
Shooting,27.0,169.0,75.0,F
Swimming,21.0,173.0,64.0,F
Equestrianism,33.0,,,M
Equestrianism,33.0,,,M
Cycling,,,,M
Swimming,20.0,178.0,68.0,F
Synchronized Swimming,19.0,162.0,,F
Volleyball,25.0,202.0,100.0,M
Diving,25.0,,,M
Hockey,,,,M
Basketball,24.0,178.0,75.0,F
Cycling,,,,M
Cycling,,,,M
Cycling,,,,M
Cycling,,,,M
Swimming,19.0,,,M
Swimming,19.0,,,M
Weightlifting,29.0,,63.5,M
Athletics,20.0,,,M
Wrestling,24.0,,,M
Athletics,26.0,,,M
Wrestling,31.0,,,M
Canoeing,20.0,,,M
Canoeing,20.0,,,M
Gymnastics,24.0,,,F
Athletics,31.0,170.0,55.0,F
Handball,29.0,200.0,105.0,M
Gymnastics,23.0,,,F
Handball,34.0,186.0,95.0,M
Wrestling,21.0,,73.0,M
Football,21.0,,,M
Water Polo,21.0,,,M
Diving,21.0,,,M
Swimming,21.0,,,M
Swimming,21.0,,,M
Football,27.0,,,M
Swimming,17.0,,,M
Swimming,17.0,,,M
Boxing,25.0,172.0,,F
Shooting,,,,M
Football,30.0,164.0,57.0,F
Shooting,34.0,165.0,75.0,M
Sailing,31.0,172.0,83.0,M
Football,20.0,172.0,62.0,F
Wrestling,29.0,157.0,55.0,F
Volleyball,31.0,200.0,97.0,M
Canoeing,,,,M
Athletics,18.0,188.0,85.0,M
Athletics,18.0,188.0,85.0,M
Athletics,29.0,,,M
Athletics,26.0,172.0,72.0,M
Athletics,26.0,172.0,72.0,M
Swimming,,,,M
Art Competitions,34.0,,,M
Gymnastics,28.0,,,M
Football,34.0,175.0,65.0,F
Shooting,37.0,175.0,64.0,M
Shooting,16.0,162.0,55.0,F
Cycling,20.0,,,M
Judo,22.0,196.0,122.0,M
Cycling,27.0,,,M
Cycling,27.0,,,M
Cycling,27.0,,,M
Cycling,27.0,,,M
Cycling,27.0,,,M
Cycling,27.0,,,M
Athletics,30.0,171.0,63.0,F
Athletics,36.0,174.0,63.0,M
Swimming,20.0,190.0,74.0,F
Swimming,18.0,174.0,64.0,F
Wrestling,25.0,181.0,97.0,M
Rowing,22.0,194.0,94.0,M
Cycling,25.0,170.0,56.0,F
Swimming,26.0,181.0,58.0,M
Fencing,30.0,,,M
Fencing,30.0,,,M
Shooting,,,,M
Shooting,,,,M
Shooting,34.0,168.0,60.0,M
Wrestling,27.0,164.0,60.0,M
Athletics,22.0,179.0,62.0,F
Gymnastics,32.0,,,M
Gymnastics,32.0,,,M
Gymnastics,32.0,,,M
Gymnastics,32.0,,,M
Gymnastics,32.0,,,M
Gymnastics,32.0,,,M
Gymnastics,32.0,,,M
Gymnastics,32.0,,,M
Sailing,27.0,177.0,77.0,M
Gymnastics,31.0,162.0,71.0,M
Gymnastics,31.0,162.0,71.0,M
Gymnastics,31.0,162.0,71.0,M
Gymnastics,31.0,162.0,71.0,M
Wrestling,34.0,,,M
Rowing,31.0,170.0,66.0,M
Taekwondo,21.0,181.0,67.0,F
Athletics,23.0,170.0,60.0,M
Athletics,28.0,162.0,60.0,F
Sailing,36.0,,,M
Weightlifting,28.0,192.0,105.0,M
Football,20.0,,,M
Judo,35.0,165.0,63.0,F
Fencing,26.0,,,M
Fencing,26.0,,,M
Fencing,26.0,,,M
Water Polo,18.0,169.0,62.0,F
Wrestling,21.0,177.0,58.0,F
Basketball,28.0,203.0,109.0,M
Judo,22.0,187.0,81.0,M
Athletics,28.0,182.0,92.0,F
Boxing,24.0,,,M
Basketball,,,,M
Athletics,23.0,177.0,69.0,M
Basketball,23.0,202.0,97.0,M
Water Polo,20.0,170.0,55.0,F
Water Polo,19.0,168.0,50.0,F
Wrestling,27.0,187.0,100.0,M
Gymnastics,,,,M
Cycling,29.0,174.0,55.0,F
Cycling,29.0,174.0,55.0,F
Rowing,25.0,175.0,73.0,F
Rowing,20.0,177.0,70.0,F
Weightlifting,23.0,174.0,94.0,M
Athletics,31.0,182.0,69.0,F
Athletics,31.0,182.0,69.0,F
Archery,20.0,171.0,75.0,M
Archery,20.0,171.0,75.0,M
Football,30.0,178.0,,M
Athletics,30.0,184.0,120.0,M
